Date,Open,High,Low,Close,Adj Close,Volume
2012-02-21,196.369995,196.789993,193.869995,194.529999,142.388779,582200
2012-02-22,192.699997,194.600006,192.399994,193.509995,141.642212,483500
2012-02-23,193.589996,198.089996,192.800003,197.130005,144.291916,652500
2012-02-24,198.490005,199.100006,195.229996,196.000000,143.464828,585700
2012-02-27,195.000000,198.399994,194.000000,197.710007,144.716446,477000
2012-02-28,197.940002,199.899994,197.399994,198.330002,145.170288,567100
2012-02-29,202.089996,202.089996,197.570007,199.000000,145.660629,1230900
2012-03-01,198.020004,200.000000,197.160004,198.500000,145.294693,706600
2012-03-02,197.800003,200.250000,197.600006,198.250000,145.111679,831200
2012-03-05,196.740005,196.820007,194.550003,195.240005,143.998032,456400
2012-03-06,193.649994,194.949997,191.880005,193.169998,142.471298,870600
2012-03-07,194.149994,196.720001,193.279999,196.720001,145.089569,516000
2012-03-08,198.550003,198.970001,195.020004,195.550003,144.226639,685200
2012-03-09,196.320007,197.509995,195.279999,196.910004,145.229706,437600
2012-03-12,196.979996,196.979996,194.509995,194.880005,143.732559,627300
2012-03-13,197.000000,203.009995,195.259995,203.000000,149.721298,773000
2012-03-14,206.419998,206.419998,198.839996,200.669998,148.002899,491300
2012-03-15,201.240005,205.089996,199.350006,205.080002,151.255447,537600
2012-03-16,204.039993,205.720001,203.020004,205.600006,151.639023,736100
2012-03-19,204.020004,206.520004,203.809998,205.089996,151.262817,308900
2012-03-20,204.619995,204.619995,202.929993,203.300003,149.942642,320200
2012-03-21,202.679993,204.270004,200.699997,201.339996,148.497025,652600
2012-03-22,199.550003,200.119995,198.149994,198.520004,146.417145,572100
2012-03-23,199.020004,201.440002,198.240005,201.110001,148.327393,364400
2012-03-26,201.520004,205.199997,200.710007,205.190002,151.336594,385300
2012-03-27,208.690002,208.690002,203.460007,203.580002,150.149109,555500
2012-03-28,203.889999,204.550003,200.199997,202.729996,149.522186,351500
2012-03-29,201.229996,202.220001,198.699997,199.589996,147.206299,478600
2012-03-30,201.729996,204.899994,199.179993,204.899994,151.122650,658400
2012-04-02,207.699997,209.369995,203.380005,206.289993,152.147842,479800
2012-04-03,205.440002,207.270004,202.380005,206.570007,152.354370,605400
2012-04-04,205.589996,206.139999,202.990005,203.820007,150.326172,681600
2012-04-05,202.869995,206.199997,202.429993,205.979996,151.919235,969300
2012-04-09,201.639999,208.210007,200.779999,202.740005,149.529572,762200
2012-04-10,202.380005,203.630005,197.440002,198.600006,146.476196,998200
2012-04-11,200.639999,201.050003,197.149994,197.809998,145.893524,564700
2012-04-12,198.699997,201.910004,198.490005,201.710007,148.769913,459200
2012-04-13,201.509995,201.720001,197.479996,197.809998,145.893524,387100
2012-04-16,199.500000,201.279999,197.520004,198.179993,146.166382,464800
2012-04-17,200.770004,202.990005,199.639999,201.809998,148.843658,736700
2012-04-18,200.000000,200.000000,194.050003,196.009995,144.565887,1287900
2012-04-19,195.509995,195.990005,189.710007,190.600006,140.575806,1673100
2012-04-20,190.449997,193.250000,189.589996,190.399994,140.428284,1177400
2012-04-23,188.000000,188.279999,184.000000,186.940002,137.876373,1021400
2012-04-24,187.449997,190.570007,186.910004,188.570007,139.078598,812800
2012-04-25,190.000000,191.559998,189.750000,191.399994,141.165833,461200
2012-04-26,190.729996,193.690002,190.020004,193.250000,142.530289,713800
2012-04-27,193.199997,193.940002,191.380005,192.500000,141.977112,642300
2012-04-30,191.960007,192.509995,190.759995,191.580002,141.298615,398600
2012-05-01,191.339996,193.240005,190.320007,190.500000,140.502029,655500
2012-05-02,190.809998,190.809998,187.320007,188.779999,139.233490,894900
2012-05-03,188.330002,188.940002,182.539993,183.160004,135.088501,1197200
2012-05-04,182.889999,184.649994,181.770004,183.169998,135.095840,1263900
2012-05-07,181.039993,184.820007,181.039993,183.820007,135.575287,692900
2012-05-08,182.490005,183.490005,180.649994,182.339996,134.483643,621500
2012-05-09,180.210007,181.949997,179.539993,180.270004,132.956940,522300
2012-05-10,180.800003,181.940002,179.130005,179.679993,132.521790,550700
2012-05-11,178.949997,180.929993,177.119995,179.770004,132.588226,552700
2012-05-14,177.029999,178.229996,176.399994,176.490005,130.169067,494900
2012-05-15,176.669998,179.940002,176.399994,176.850006,130.434586,576400
2012-05-16,177.830002,178.919998,175.029999,175.070007,129.121765,558900
2012-05-17,175.000000,176.759995,173.899994,173.970001,128.310455,562800
2012-05-18,173.259995,174.669998,171.360001,171.910004,126.791107,772200
2012-05-21,167.110001,172.619995,166.009995,167.729996,123.708199,1838700
2012-05-22,166.990005,167.649994,162.720001,163.369995,120.492508,3999900
2012-05-23,160.649994,168.059998,160.250000,167.500000,123.538559,22888000
2012-05-24,169.300003,170.899994,166.809998,170.440002,125.706902,3906300
2012-05-25,170.470001,172.250000,169.610001,171.360001,126.385490,1494500
2012-05-29,173.130005,174.690002,171.020004,174.600006,128.775101,1629300
2012-05-30,172.990005,173.000000,170.179993,170.770004,125.950294,1355600
2012-05-31,170.529999,171.929993,167.559998,170.800003,125.972458,1346400
2012-06-01,168.070007,169.330002,165.399994,166.570007,122.852661,1686700
2012-06-04,167.169998,168.350006,163.639999,165.000000,121.694679,1086400
2012-06-05,162.710007,166.750000,162.710007,166.279999,123.763885,1329600
2012-06-06,168.570007,170.710007,167.240005,170.559998,126.949501,772300
2012-06-07,171.979996,174.000000,171.720001,172.119995,128.110611,857400
2012-06-08,170.789993,173.929993,169.960007,173.910004,129.442993,597300
2012-06-11,175.380005,175.399994,171.779999,171.949997,127.984116,862500
2012-06-12,174.130005,174.960007,170.330002,173.020004,128.780472,837300
2012-06-13,173.279999,173.339996,170.160004,171.919998,127.961761,795300
2012-06-14,171.919998,173.160004,171.110001,172.690002,128.534882,910200
2012-06-15,173.559998,177.660004,173.179993,176.729996,131.541916,1763700
2012-06-18,175.860001,175.860001,171.919998,173.449997,129.100571,864300
2012-06-19,174.779999,177.350006,173.690002,176.080002,131.058121,646600
2012-06-20,177.240005,177.240005,174.240005,175.660004,130.745514,709100
2012-06-21,175.660004,177.100006,170.830002,170.949997,127.239799,945500
2012-06-22,173.350006,174.910004,170.660004,172.000000,128.021362,3065000
2012-06-25,169.110001,169.520004,165.710007,166.910004,124.232780,1224000
2012-06-26,167.160004,169.000000,166.520004,168.190002,125.185493,667700
2012-06-27,169.259995,169.259995,165.970001,166.380005,123.838333,1230500
2012-06-28,165.169998,166.210007,163.240005,166.089996,123.622452,1163600
2012-06-29,169.869995,169.869995,166.979996,169.820007,126.398727,1101200
2012-07-02,169.809998,170.369995,168.460007,169.630005,126.257317,853300
2012-07-03,169.029999,173.860001,169.029999,173.839996,129.390884,517600
2012-07-05,172.960007,174.529999,170.639999,171.750000,127.835251,666200
2012-07-06,170.160004,171.449997,169.320007,171.279999,127.485405,671500
2012-07-09,171.509995,172.449997,169.449997,171.860001,127.917114,775300
2012-07-10,173.059998,175.210007,171.960007,173.509995,129.145264,1109000
2012-07-11,173.970001,175.380005,172.750000,175.130005,130.350983,826100
2012-07-12,173.509995,173.509995,171.240005,172.470001,128.371170,754100
2012-07-13,172.789993,176.399994,172.490005,175.779999,130.834854,541900
2012-07-16,175.509995,176.470001,174.029999,175.289993,130.470062,472200
2012-07-17,175.770004,176.440002,172.320007,176.149994,131.110260,575900
2012-07-18,172.889999,176.000000,171.740005,175.050003,130.291458,896900
2012-07-19,175.070007,176.949997,174.550003,176.119995,131.087891,665700
2012-07-20,175.270004,176.320007,173.110001,173.309998,128.996368,735300
2012-07-23,170.309998,170.309998,165.660004,166.850006,124.188126,1184100
2012-07-24,166.479996,168.000000,163.850006,164.419998,122.379433,1179100
2012-07-25,165.509995,166.270004,163.949997,164.059998,122.111473,961800
2012-07-26,166.639999,167.240005,164.419998,165.000000,122.811150,1041400
2012-07-27,166.360001,171.539993,165.690002,170.669998,127.031387,631200
2012-07-30,170.850006,172.539993,168.710007,172.029999,128.043655,530600
2012-07-31,170.899994,171.690002,168.649994,170.259995,126.726181,504000
2012-08-01,170.759995,172.919998,169.289993,169.619995,126.249855,423200
2012-08-02,168.240005,169.600006,166.000000,168.509995,125.423698,569200
2012-08-03,170.869995,173.729996,170.000000,173.190002,128.907043,596700
2012-08-06,173.800003,175.289993,172.690002,172.910004,128.698654,501800
2012-08-07,173.740005,174.630005,173.009995,174.009995,129.517349,747200
2012-08-08,173.000000,173.910004,172.610001,173.669998,129.264282,451300
2012-08-09,173.500000,175.550003,173.130005,174.789993,130.097916,427800
2012-08-10,173.580002,174.740005,172.940002,174.410004,129.815109,382300
2012-08-13,174.110001,175.339996,173.210007,174.949997,130.217087,353700
2012-08-14,175.509995,175.570007,172.410004,173.000000,128.765640,474500
2012-08-15,172.970001,176.449997,172.949997,176.029999,131.020889,466800
2012-08-16,176.059998,177.990005,175.229996,177.220001,131.906586,374200
2012-08-17,179.449997,180.000000,177.570007,178.789993,133.075180,389000
2012-08-20,177.720001,179.289993,177.250000,178.369995,132.762604,410400
2012-08-21,178.800003,181.339996,177.460007,178.529999,132.881638,460900
2012-08-22,178.300003,178.979996,177.220001,178.039993,132.516953,326600
2012-08-23,178.250000,178.690002,176.770004,177.300003,131.966156,300200
2012-08-24,176.619995,178.880005,175.509995,178.270004,132.688141,299500
2012-08-27,178.529999,178.990005,176.750000,177.000000,131.742859,287500
2012-08-28,176.779999,179.429993,176.220001,178.320007,132.725357,652000
2012-08-29,178.880005,179.199997,176.750000,177.149994,131.854492,303600
2012-08-30,175.440002,176.830002,174.500000,176.009995,132.124771,434700
2012-08-31,176.940002,177.979996,174.860001,176.369995,132.394974,395000
2012-09-04,176.699997,178.000000,175.360001,176.929993,132.815399,376400
2012-09-05,177.199997,177.970001,175.919998,176.000000,132.117279,434200
2012-09-06,177.220001,180.399994,176.539993,180.179993,135.255066,514200
2012-09-07,180.399994,182.729996,179.899994,182.020004,136.636276,441600
2012-09-10,181.699997,181.949997,177.720001,177.830002,133.490997,613100
2012-09-11,177.610001,179.350006,176.550003,176.720001,132.657669,586500
2012-09-12,177.000000,178.080002,175.309998,176.690002,132.635193,497200
2012-09-13,176.779999,181.979996,175.289993,181.889999,136.538696,1088100
2012-09-14,185.300003,185.460007,182.059998,183.000000,137.371902,1090400
