Date,-5,-4,-3,-2,-1,Close
18/11/2016,27.10750008,26.42749977,26.77750015,27.49749947,27.48749924,27.51499939
21/11/2016,26.42749977,26.77750015,27.49749947,27.48749924,27.51499939,27.93250084
22/11/2016,26.77750015,27.49749947,27.48749924,27.51499939,27.93250084,27.95000076
23/11/2016,27.49749947,27.48749924,27.51499939,27.93250084,27.95000076,27.80750084
25/11/2016,27.48749924,27.51499939,27.93250084,27.95000076,27.80750084,27.94750023
28/11/2016,27.51499939,27.93250084,27.95000076,27.80750084,27.94750023,27.89249992
29/11/2016,27.93250084,27.95000076,27.80750084,27.94750023,27.89249992,27.86499977
30/11/2016,27.95000076,27.80750084,27.94750023,27.89249992,27.86499977,27.62999916
1/12/2016,27.80750084,27.94750023,27.89249992,27.86499977,27.62999916,27.37249947
2/12/2016,27.94750023,27.89249992,27.86499977,27.62999916,27.37249947,27.47500038
5/12/2016,27.89249992,27.86499977,27.62999916,27.37249947,27.47500038,27.27750015
6/12/2016,27.86499977,27.62999916,27.37249947,27.47500038,27.27750015,27.48749924
7/12/2016,27.62999916,27.37249947,27.47500038,27.27750015,27.48749924,27.75749969
8/12/2016,27.37249947,27.47500038,27.27750015,27.48749924,27.75749969,28.03000069
9/12/2016,27.47500038,27.27750015,27.48749924,27.75749969,28.03000069,28.48749924
12/12/2016,27.27750015,27.48749924,27.75749969,28.03000069,28.48749924,28.32500076
13/12/2016,27.48749924,27.75749969,28.03000069,28.48749924,28.32500076,28.79750061
14/12/2016,27.75749969,28.03000069,28.48749924,28.32500076,28.79750061,28.79750061
15/12/2016,28.03000069,28.48749924,28.32500076,28.79750061,28.79750061,28.95499992
16/12/2016,28.48749924,28.32500076,28.79750061,28.79750061,28.95499992,28.99250031
19/12/2016,28.32500076,28.79750061,28.79750061,28.95499992,28.99250031,29.15999985
20/12/2016,28.79750061,28.79750061,28.95499992,28.99250031,29.15999985,29.23749924
21/12/2016,28.79750061,28.95499992,28.99250031,29.15999985,29.23749924,29.26499939
22/12/2016,28.95499992,28.99250031,29.15999985,29.23749924,29.26499939,29.07250023
23/12/2016,28.99250031,29.15999985,29.23749924,29.26499939,29.07250023,29.12999916
27/12/2016,29.15999985,29.23749924,29.26499939,29.07250023,29.12999916,29.31500053
28/12/2016,29.23749924,29.26499939,29.07250023,29.12999916,29.31500053,29.19000053
29/12/2016,29.26499939,29.07250023,29.12999916,29.31500053,29.19000053,29.18250084
30/12/2016,29.07250023,29.12999916,29.31500053,29.19000053,29.18250084,28.95499992
3/1/2017,29.12999916,29.31500053,29.19000053,29.18250084,28.95499992,29.03750038
4/1/2017,29.31500053,29.19000053,29.18250084,28.95499992,29.03750038,29.00499916
5/1/2017,29.19000053,29.18250084,28.95499992,29.03750038,29.00499916,29.15250015
6/1/2017,29.18250084,28.95499992,29.03750038,29.00499916,29.15250015,29.47750092
9/1/2017,28.95499992,29.03750038,29.00499916,29.15250015,29.47750092,29.74749947
10/1/2017,29.03750038,29.00499916,29.15250015,29.47750092,29.74749947,29.77750015
11/1/2017,29.00499916,29.15250015,29.47750092,29.74749947,29.77750015,29.9375
12/1/2017,29.15250015,29.47750092,29.74749947,29.77750015,29.9375,29.8125
13/1/2017,29.47750092,29.74749947,29.77750015,29.9375,29.8125,29.76000023
17/1/2017,29.74749947,29.77750015,29.9375,29.8125,29.76000023,30
18/1/2017,29.77750015,29.9375,29.8125,29.76000023,30,29.99749947
19/1/2017,29.9375,29.8125,29.76000023,30,29.99749947,29.94499969
20/1/2017,29.8125,29.76000023,30,29.99749947,29.94499969,30
23/1/2017,29.76000023,30,29.99749947,29.94499969,30,30.02000046
24/1/2017,30,29.99749947,29.94499969,30,30.02000046,29.99250031
25/1/2017,29.99749947,29.94499969,30,30.02000046,29.99250031,30.46999931
26/1/2017,29.94499969,30,30.02000046,29.99250031,30.46999931,30.48500061
27/1/2017,30,30.02000046,29.99250031,30.46999931,30.48500061,30.48749924
30/1/2017,30.02000046,29.99250031,30.46999931,30.48500061,30.48749924,30.40749931
31/1/2017,29.99250031,30.46999931,30.48500061,30.48749924,30.40749931,30.33749962
1/2/2017,30.46999931,30.48500061,30.48749924,30.40749931,30.33749962,32.1875
2/2/2017,30.48500061,30.48749924,30.40749931,30.33749962,32.1875,32.13249969
3/2/2017,30.48749924,30.40749931,30.33749962,32.1875,32.13249969,32.27000046
6/2/2017,30.40749931,30.33749962,32.1875,32.13249969,32.27000046,32.57249832
7/2/2017,30.33749962,32.1875,32.13249969,32.27000046,32.57249832,32.88249969
8/2/2017,32.1875,32.13249969,32.27000046,32.57249832,32.88249969,33.00999832
9/2/2017,32.13249969,32.27000046,32.57249832,32.88249969,33.00999832,33.10499954
10/2/2017,32.27000046,32.57249832,32.88249969,33.00999832,33.10499954,33.02999878
13/2/2017,32.57249832,32.88249969,33.00999832,33.10499954,33.02999878,33.32249832
14/2/2017,32.88249969,33.00999832,33.10499954,33.02999878,33.32249832,33.75500107
15/2/2017,33.00999832,33.10499954,33.02999878,33.32249832,33.75500107,33.87749863
16/2/2017,33.10499954,33.02999878,33.32249832,33.75500107,33.87749863,33.83750153
17/2/2017,33.02999878,33.32249832,33.75500107,33.87749863,33.83750153,33.93000031
21/2/2017,33.32249832,33.75500107,33.87749863,33.83750153,33.93000031,34.17499924
22/2/2017,33.75500107,33.87749863,33.83750153,33.93000031,34.17499924,34.27750015
23/2/2017,33.87749863,33.83750153,33.93000031,34.17499924,34.27750015,34.13249969
24/2/2017,33.83750153,33.93000031,34.17499924,34.27750015,34.13249969,34.16500092
27/2/2017,33.93000031,34.17499924,34.27750015,34.13249969,34.16500092,34.23249817
28/2/2017,34.17499924,34.27750015,34.13249969,34.16500092,34.23249817,34.24750137
1/3/2017,34.27750015,34.13249969,34.16500092,34.23249817,34.24750137,34.94749832
2/3/2017,34.13249969,34.16500092,34.23249817,34.24750137,34.94749832,34.74000168
3/3/2017,34.16500092,34.23249817,34.24750137,34.94749832,34.74000168,34.94499969
6/3/2017,34.23249817,34.24750137,34.94749832,34.74000168,34.94499969,34.83499908
7/3/2017,34.24750137,34.94749832,34.74000168,34.94499969,34.83499908,34.88000107
8/3/2017,34.94749832,34.74000168,34.94499969,34.83499908,34.88000107,34.75
9/3/2017,34.74000168,34.94499969,34.83499908,34.88000107,34.75,34.66999817
10/3/2017,34.94499969,34.83499908,34.88000107,34.75,34.66999817,34.78499985
13/3/2017,34.83499908,34.88000107,34.75,34.66999817,34.78499985,34.79999924
14/3/2017,34.88000107,34.75,34.66999817,34.78499985,34.79999924,34.74750137
15/3/2017,34.75,34.66999817,34.78499985,34.79999924,34.74750137,35.11500168
16/3/2017,34.66999817,34.78499985,34.79999924,34.74750137,35.11500168,35.17250061
17/3/2017,34.78499985,34.79999924,34.74750137,35.11500168,35.17250061,34.99750137
20/3/2017,34.79999924,34.74750137,35.11500168,35.17250061,34.99750137,35.36500168
21/3/2017,34.74750137,35.11500168,35.17250061,34.99750137,35.36500168,34.95999908
22/3/2017,35.11500168,35.17250061,34.99750137,35.36500168,34.95999908,35.35499954
23/3/2017,35.17250061,34.99750137,35.36500168,34.95999908,35.35499954,35.22999954
24/3/2017,34.99750137,35.36500168,34.95999908,35.35499954,35.22999954,35.15999985
27/3/2017,35.36500168,34.95999908,35.35499954,35.22999954,35.15999985,35.22000122
28/3/2017,34.95999908,35.35499954,35.22999954,35.15999985,35.22000122,35.95000076
29/3/2017,35.35499954,35.22999954,35.15999985,35.22000122,35.95000076,36.02999878
30/3/2017,35.22999954,35.15999985,35.22000122,35.95000076,36.02999878,35.98249817
31/3/2017,35.15999985,35.22000122,35.95000076,36.02999878,35.98249817,35.91500092
3/4/2017,35.22000122,35.95000076,36.02999878,35.98249817,35.91500092,35.92499924
4/4/2017,35.95000076,36.02999878,35.98249817,35.91500092,35.92499924,36.19250107
5/4/2017,36.02999878,35.98249817,35.91500092,35.92499924,36.19250107,36.00500107
6/4/2017,35.98249817,35.91500092,35.92499924,36.19250107,36.00500107,35.91500092
7/4/2017,35.91500092,35.92499924,36.19250107,36.00500107,35.91500092,35.83499908
10/4/2017,35.92499924,36.19250107,36.00500107,35.91500092,35.83499908,35.79249954
11/4/2017,36.19250107,36.00500107,35.91500092,35.83499908,35.79249954,35.40750122
12/4/2017,36.00500107,35.91500092,35.83499908,35.79249954,35.40750122,35.45000076
13/4/2017,35.91500092,35.83499908,35.79249954,35.40750122,35.45000076,35.26250076
17/4/2017,35.83499908,35.79249954,35.40750122,35.45000076,35.26250076,35.45750046
18/4/2017,35.79249954,35.40750122,35.45000076,35.26250076,35.45750046,35.29999924
19/4/2017,35.40750122,35.45000076,35.26250076,35.45750046,35.29999924,35.16999817
20/4/2017,35.45000076,35.26250076,35.45750046,35.29999924,35.16999817,35.61000061
21/4/2017,35.26250076,35.45750046,35.29999924,35.16999817,35.61000061,35.56750107
24/4/2017,35.45750046,35.29999924,35.16999817,35.61000061,35.56750107,35.90999985
25/4/2017,35.29999924,35.16999817,35.61000061,35.56750107,35.90999985,36.13249969
26/4/2017,35.16999817,35.61000061,35.56750107,35.90999985,36.13249969,35.91999817
27/4/2017,35.61000061,35.56750107,35.90999985,36.13249969,35.91999817,35.94749832
28/4/2017,35.56750107,35.90999985,36.13249969,35.91999817,35.94749832,35.91249847
1/5/2017,35.90999985,36.13249969,35.91999817,35.94749832,35.91249847,36.64500046
2/5/2017,36.13249969,35.91999817,35.94749832,35.91249847,36.64500046,36.87749863
3/5/2017,35.91999817,35.94749832,35.91249847,36.64500046,36.87749863,36.76499939
4/5/2017,35.94749832,35.91249847,36.64500046,36.87749863,36.76499939,36.63249969
5/5/2017,35.91249847,36.64500046,36.87749863,36.76499939,36.63249969,37.24000168
8/5/2017,36.64500046,36.87749863,36.76499939,36.63249969,37.24000168,38.25249863
9/5/2017,36.87749863,36.76499939,36.63249969,37.24000168,38.25249863,38.49750137
10/5/2017,36.76499939,36.63249969,37.24000168,38.25249863,38.49750137,38.31499863
