Date,Open,High,Low,Close,Adj Close,Volume
2016-11-11,76.30000305175781,76.72000122070312,75.7699966430664,76.69000244140625,62.98475646972656,27574300
2016-11-14,77.25,80.44000244140625,77.25,79.51000213623047,65.30078887939453,46130700
2016-11-15,78.37000274658203,79.41000366210938,77.77999877929688,79.36000061035156,65.17759704589844,28126300
2016-11-16,78.22000122070312,78.3499984741211,76.87999725341797,77.4000015258789,63.56787872314453,26054900
2016-11-17,77.93000030517578,78.45999908447266,77.5999984741211,78.0199966430664,64.07709503173828,19306700
2016-11-18,77.95999908447266,78.41999816894531,77.55000305175781,77.70999908447266,63.822444915771484,19770000
2016-11-21,78.0,78.16999816894531,77.29000091552734,78.05000305175781,64.1016845703125,11983500
2016-11-22,78.3499984741211,78.55999755859375,77.76000213623047,78.52999877929688,64.49591064453125,14410100
2016-11-23,78.87000274658203,79.23999786376953,77.88999938964844,78.86000061035156,64.76695251464844,13373700
2016-11-25,79.0999984741211,79.44999694824219,78.47000122070312,78.83000183105469,64.7423095703125,6185700
2016-11-28,78.18000030517578,78.87000274658203,78.0199966430664,78.31999969482422,64.32345581054688,13007200
2016-11-29,78.38999938964844,79.16000366210938,78.38999938964844,78.91999816894531,64.81623077392578,14144100
2016-11-30,79.91999816894531,80.52999877929688,79.69999694824219,80.16999816894531,65.84282684326172,25351900
2016-12-01,80.6500015258789,82.27999877929688,80.6500015258789,81.79000091552734,67.17333984375,23823600
2016-12-02,81.80000305175781,81.83000183105469,80.9000015258789,81.5999984741211,67.01729583740234,16931500
2016-12-05,82.30000305175781,83.29000091552734,82.29000091552734,83.26000213623047,68.38063049316406,18529800
2016-12-06,83.5999984741211,83.80999755859375,82.43000030517578,83.69000244140625,68.73375701904297,16130000
2016-12-07,83.55000305175781,84.08999633789062,82.8499984741211,84.06999969482422,69.04585266113281,18996900
2016-12-08,84.2300033569336,85.5,83.94000244140625,85.12000274658203,69.90821838378906,20844900
2016-12-09,85.0199966430664,85.5,84.13999938964844,85.48999786376953,70.21210479736328,14567200
2016-12-12,85.36000061035156,85.79000091552734,84.29000091552734,84.7300033569336,69.58792877197266,14511300
2016-12-13,84.9800033569336,85.66999816894531,83.81999969482422,84.76000213623047,69.61255645751953,16669000
2016-12-14,83.87999725341797,86.12000274658203,83.76000213623047,84.7300033569336,69.58792877197266,22622600
2016-12-15,85.4000015258789,86.48999786376953,84.9000015258789,86.0,70.63097381591797,19438900
2016-12-16,86.29000091552734,86.29000091552734,84.88999938964844,84.94000244140625,69.76038360595703,23008500
2016-12-19,84.80000305175781,85.44000244140625,84.19000244140625,85.43000030517578,70.1628189086914,21685100
2016-12-20,85.79000091552734,86.54000091552734,85.55000305175781,86.52999877929688,71.06625366210938,14587300
2016-12-21,86.43000030517578,86.80999755859375,86.02999877929688,86.75,71.24693298339844,11400500
2016-12-22,86.44000244140625,87.16999816894531,86.20999908447266,86.88999938964844,71.3619155883789,13924200
2016-12-23,87.0,87.1500015258789,86.4000015258789,87.05000305175781,71.49332427978516,10759400
2016-12-27,87.05000305175781,87.16000366210938,86.75,87.12999725341797,71.55901336669922,6946400
2016-12-28,87.16000366210938,87.38999938964844,86.3499984741211,86.5,71.04161071777344,9455600
2016-12-29,86.58000183105469,86.66999816894531,85.04000091552734,85.88999938964844,70.54061126708984,14689000
2016-12-30,86.0999984741211,86.41999816894531,85.66000366210938,86.29000091552734,70.8691177368164,13617800
2017-01-03,87.33999633789062,87.76000213623047,85.9800033569336,87.2300033569336,71.64114379882812,20550700
2017-01-04,86.95999908447266,87.18000030517578,86.4000015258789,86.91000366210938,71.77328491210938,15266600
2017-01-05,86.80999755859375,87.11000061035156,85.26000213623047,86.11000061035156,71.11260986328125,14300800
