Date,Adj Close,Close,High,Low,Open,Volume
2016-11-11,68.24385833740234,77.66999816894531,78.08999633789062,76.79000091552734,77.97000122070312,3072700
2016-11-14,67.67271423339844,77.0199966430664,78.23999786376953,76.69000244140625,78.01000213623047,3221700
2016-11-15,67.93634033203125,77.31999969482422,77.54000091552734,76.18000030517578,77.43000030517578,3097600
2016-11-16,67.60245513916016,76.94000244140625,77.5199966430664,76.81999969482422,77.5199966430664,1922300
2016-11-17,68.27897644042969,77.70999908447266,77.80999755859375,76.7300033569336,77.0,4519200
2016-11-18,67.3652114868164,76.66999816894531,77.91999816894531,76.5199966430664,77.58000183105469,4571600
2016-11-21,67.3388442993164,76.63999938964844,77.04000091552734,76.0999984741211,76.80000305175781,4060300
2016-11-22,66.76774597167969,75.98999786376953,77.80999755859375,75.5,77.80999755859375,5208800
2016-11-23,59.74742126464844,68.0,68.43000030517578,64.18000030517578,64.33999633789062,53877200
2016-11-25,60.73148727416992,69.12000274658203,69.13999938964844,67.77999877929688,68.52999877929688,8620700
2016-11-28,59.044498443603516,67.19999694824219,68.43000030517578,67.0999984741211,68.43000030517578,12507700
2016-11-29,59.000579833984375,67.1500015258789,67.63999938964844,66.4800033569336,67.56999969482422,8930000
2016-11-30,58.97420883178711,67.12000274658203,67.81999969482422,66.80999755859375,67.30000305175781,9085300
2016-12-01,57.963775634765625,65.97000122070312,67.30000305175781,65.66000366210938,67.29000091552734,7168100
2016-12-02,59.492610931396484,67.70999908447266,68.38999938964844,65.95999908447266,66.30000305175781,12272200
2016-12-05,59.097225189208984,67.26000213623047,68.30999755859375,66.73999786376953,68.16000366210938,7286000
2016-12-06,59.57168960571289,67.80000305175781,67.93000030517578,67.12999725341797,67.19999694824219,4617200
2016-12-07,59.20265197753906,67.37999725341797,67.37999725341797,66.55999755859375,67.25,5835900
2016-12-08,59.035728454589844,67.19000244140625,67.2699966430664,66.38999938964844,67.05000305175781,4811400
2016-12-09,59.6156120300293,67.8499984741211,68.16999816894531,67.22000122070312,67.37999725341797,4350800
2016-12-12,59.40475082397461,67.61000061035156,68.54000091552734,67.41999816894531,67.9800033569336,5273700
2016-12-13,60.30974578857422,68.63999938964844,68.88999938964844,67.98999786376953,67.98999786376953,6010900
2016-12-14,59.45744323730469,67.66999816894531,68.91999816894531,67.54000091552734,68.41999816894531,6140300
2016-12-15,62.708438873291016,71.37000274658203,71.58999633789062,69.66000366210938,70.37000274658203,14320800
2016-12-16,64.41297912597656,73.30999755859375,73.70999908447266,71.76000213623047,72.86000061035156,17584700
2016-12-19,64.50962829589844,73.41999816894531,74.48999786376953,73.30000305175781,73.4800033569336,6102400
2016-12-20,64.4744873046875,73.37999725341797,74.0999984741211,73.0,73.6500015258789,6001500
2016-12-21,64.36026000976562,73.25,73.88999938964844,73.0999984741211,73.33000183105469,5054100
2016-12-22,64.36907196044922,73.26000213623047,73.4800033569336,72.68000030517578,73.16000366210938,4827500
2016-12-23,64.83473205566406,73.79000091552734,74.0,73.26000213623047,73.4800033569336,2570100
2016-12-27,64.852294921875,73.80999755859375,74.45999908447266,73.68000030517578,74.05999755859375,2786700
2016-12-28,64.1933364868164,73.05999755859375,73.77999877929688,72.97000122070312,73.66000366210938,3256800
2016-12-29,64.63263702392578,73.55999755859375,73.87000274658203,73.23999786376953,73.38999938964844,3031600
