Date,Open,High,Low,Close,Adj Close,Volume,Rise,Drop,14RSI,EMA12,EMA26,MACD,Signal Line 9,MACD Histogram
2017-01-03,56.44084167480470,57.614505767822300,56.345420837402300,57.39503860473630,46.700130462646500,12564158,0.993782043457,,41.9117211400761,46.5296073118992,47.0141705669421,-0.4845632550429,-0.438747794837682,-0.045815460205218
2017-01-04,57.729007720947300,58.0057258605957,57.290077209472700,57.375953674316400,46.684600830078100,9863671,,0.015529632568400,36.7833358369636,46.5534524685421,46.9897579938411,-0.436305525299,-0.438259340929946,0.001953815630946
2017-01-05,57.461830139160200,57.80534362792970,57.25190734863280,57.356868743896500,46.6690788269043,10581446,,0.0155220031738,36.565930675265,46.5712411390594,46.9660039814754,-0.394762842416,-0.429560041227157,0.034797198811157
2017-01-06,57.33778762817380,57.69084167480470,56.803436279296900,57.50954055786130,46.793304443359400,10730053,0.1242256164551,,32.1426721148468,46.6054047243363,46.9532114230964,-0.3478066987601,-0.413209372733746,0.065402673973646
2017-01-09,57.538169860839800,58.66412353515630,57.328243255615200,58.3015251159668,47.437705993652300,10201861,0.644401550292900,,39.9096353224362,46.7334510734618,46.9890999098042,-0.2556488363424,-0.381697265455477,0.126048429113077
2017-01-10,58.39694595336910,58.435115814209000,57.14694595336910,57.17557144165040,46.52156448364260,16036706,,0.9161415100097,40.6441339843297,46.7008531365665,46.9544676560145,-0.253614519448,-0.356080716253982,0.102466196805982
2017-01-11,59.48473358154300,60.26717758178710,57.96755599975590,58.8072509765625,47.84919357299810,34281862,1.32762908935550,,57.4440221574446,46.8775208960175,47.0207436498651,-0.1432227538476,-0.313509123772706,0.170286369925106
2017-01-12,59.66603088378910,60.343509674072300,59.274810791015600,59.360687255859400,48.29951095581060,26079899,0.45031738281250,,69.5776437403643,47.0962885975241,47.1154671540092,-0.0191785564851,-0.254643010315185,0.235464453830085
2017-01-13,59.475189208984400,59.80915832519530,59.2557258605957,59.48473358154300,48.40044021606450,10447617,0.10092926025390,,69.4917159738683,47.2969273080688,47.2106503437911,0.0862769642777,-0.186459015396608,0.272735979674308
2017-01-17,59.08396911621090,59.22710037231450,58.39694595336910,58.66412353515630,47.73272705078130,11101150,,0.66771316528320,62.1211923820661,47.3639734223323,47.249322692457,0.1146507298753,-0.126237066342226,0.240887796217526
2017-01-18,58.568702697753900,58.950382232666000,58.28244400024410,58.36832046508790,47.49205780029300,8522022,,0.24066925048830,58.6251053302643,47.3836787112493,47.2673030708152,0.1163756404341,-0.0777145249869608,0.194090165421061
2017-01-19,58.25381851196290,58.28244400024410,57.318702697753900,57.566795349121100,46.83988952636720,11944999,,0.65216827392580,56.3702429869451,47.3000188366521,47.2356428082635,0.0643760283886,-0.0492964143118486,0.113672442700449
2017-01-20,59.54198455810550,60.038169860839800,59.303436279296900,59.66603088378910,48.54794692993160,26451834,1.70805740356440,,66.9581256854944,47.4920077740797,47.3328505209797,0.1591572531,-0.00760568082947888,0.166762933929479
2017-01-23,58.979007720947300,59.54198455810550,58.8072509765625,58.979007720947300,47.98893356323240,10691382,,0.55901336669920,63.5608254805708,47.5684578954878,47.3814492648503,0.1870086306375,0.0313171814639169,0.155691449173583
2017-01-24,58.76908493041990,58.864505767822300,57.9484748840332,58.406490325927700,47.52310562133790,10990900,,0.46582794189450,55.2165313396169,47.5614806225417,47.3919423282938,0.1695382942479,0.0589614040207135,0.110576890227187
